groupName,targetName,Ctt,refName,Ctf,control_group,deltaCT,rel_expr,control_mean,norm_expr
2133,mc2-n2,24.03,Actin,19.89,False,4.140000000000001,0.056719947207322534,0.058391115766692266,0.9713797460893356
2133,mc2-n2,24.13,Actin,20.02,False,4.109999999999999,0.0579117538681482,0.058391115766692266,0.9917904994235869
2133,mc2-n2,24.41,Actin,20.34,False,4.07,0.05953987487774608,0.058391115766692266,1.0196735256035148
2133,mc2-n2,24.65,Actin,20.86,False,3.789999999999999,0.0722930114940805,0.058391115766692266,1.2380823785408503
2133,mc2-n2,24.94,Actin,21.48,False,3.460000000000001,0.09087328233251936,0.058391115766692266,1.556286108585644
2133,mc2-n2,30.0,Actin,21.48,False,8.52,0.0027241087233406363,0.058391115766692266,0.04665279448032975
2253,mc2-n2,26.13,Actin,21.58,False,4.550000000000001,0.04268875802357484,0.058391115766692266,0.7310831016509802
2253,mc2-n2,26.39,Actin,21.57,False,4.82,0.0354026214154937,0.058391115766692266,0.6063015058138044
2253,mc2-n2,25.29,Actin,20.98,False,4.309999999999999,0.05041510995138294,0.058391115766692266,0.8634037779449483
2253,mc2-n2,25.4,Actin,21.56,False,3.84,0.06983044612951375,0.058391115766692266,1.1959087476342893
2253,mc2-n2,25.19,Actin,22.0,False,3.1900000000000013,0.10957571516450429,0.058391115766692266,1.8765819718589618
668,mc2-n2,24.87,Actin,20.29,False,4.580000000000002,0.041810236087065945,0.058391115766692266,0.716037628979776
668,mc2-n2,24.86,Actin,20.2,False,4.66,0.03955489356157124,0.058391115766692266,0.6774128742395831
668,mc2-n2,24.49,Actin,19.86,False,4.629999999999999,0.04038602595742166,0.058391115766692266,0.6916467587087769
668,mc2-n2,24.4,Actin,19.71,False,4.689999999999998,0.03874086562309339,0.058391115766692266,0.663471918876949
668,mc2-n2,24.13,Actin,19.32,False,4.809999999999999,0.03564886612088827,0.058391115766692266,0.6105186662869571
668,mc2-n2,24.16,Actin,19.15,False,5.010000000000002,0.031034140482407338,0.058391115766692266,0.5314873688389078
nc,mc2-n2,23.23,Actin,19.25,True,3.9800000000000004,0.0633724674868768,0.058391115766692266,1.0853100964894735
nc,mc2-n2,23.14,Actin,19.28,True,3.8599999999999994,0.0688690697422882,0.058391115766692266,1.1794443185066317
nc,mc2-n2,24.07,Actin,20.03,True,4.039999999999999,0.06079093421326788,0.058391115766692266,1.0410990339037935
nc,mc2-n2,24.01,Actin,20.01,True,4.0,0.0625,0.058391115766692266,1.0703683116747624
nc,mc2-n2,24.62,Actin,20.16,True,4.460000000000001,0.04543664116625968,0.058391115766692266,0.778143054292822
nc,mc2-n2,24.58,Actin,20.24,True,4.34,0.04937758199146108,0.058391115766692266,0.8456351851325176
2133,mcu-new,24.25,Actin,19.89,False,4.359999999999999,0.04869778622878126,0.05852195430248547,0.8321285030413454
2133,mcu-new,24.16,Actin,20.02,False,4.140000000000001,0.056719947207322534,0.05852195430248547,0.969208015749973
2133,mcu-new,24.31,Actin,20.34,False,3.969999999999999,0.06381325785669963,0.05852195430248547,1.0904157015479135
2133,mcu-new,24.31,Actin,20.86,False,3.4499999999999993,0.09150535599660163,0.05852195430248547,1.5636073177534902
2133,mcu-new,24.03,Actin,21.48,False,2.5500000000000007,0.17075503209429935,0.05852195430248547,2.917794426544762
2133,mcu-new,38.78,Actin,21.48,False,17.3,6.196993990754968e-06,0.05852195430248547,0.00010589178137702379
2253,mcu-new,26.35,Actin,21.58,False,4.770000000000003,0.036651092163496136,0.05852195430248547,0.6262793613155113
2253,mcu-new,26.37,Actin,21.57,False,4.800000000000001,0.035896823593657326,0.05852195430248547,0.6133907184321895
2253,mcu-new,25.29,Actin,20.98,False,4.309999999999999,0.05041510995138294,0.05852195430248547,0.8614734513273384
2253,mcu-new,25.67,Actin,21.56,False,4.110000000000003,0.05791175386814806,0.05852195430248547,0.989573136413329
2253,mcu-new,24.81,Actin,22.0,False,2.8099999999999987,0.1425954644835531,0.05852195430248547,2.436614876982961
668,mcu-new,25.05,Actin,20.29,False,4.760000000000002,0.03690602066967279,0.05852195430248547,0.6306354787626318
668,mcu-new,24.78,Actin,20.2,False,4.580000000000002,0.041810236087065945,0.05852195430248547,0.7144367713859863
668,mcu-new,24.43,Actin,19.86,False,4.57,0.04210104927705281,0.05852195430248547,0.7194060721117229
668,mcu-new,24.39,Actin,19.71,False,4.68,0.03901032965317538,0.05852195430248547,0.6665930780701659
668,mcu-new,24.34,Actin,19.32,False,5.02,0.030819772015417482,0.05852195430248547,0.5266360698776005
668,mcu-new,24.29,Actin,19.15,False,5.140000000000001,0.028359973603661267,0.05852195430248547,0.4846040078749865
nc,mcu-new,23.24,Actin,19.25,True,3.9899999999999984,0.062934721878545,0.05852195430248547,1.0754036263596227
nc,mcu-new,23.25,Actin,19.28,True,3.969999999999999,0.06381325785669963,0.05852195430248547,1.0904157015479135
nc,mcu-new,24.01,Actin,20.03,True,3.9800000000000004,0.0633724674868768,0.05852195430248547,1.0828836501139425
nc,mcu-new,24.05,Actin,20.01,True,4.039999999999999,0.06079093421326788,0.05852195430248547,1.0387714309582796
nc,mcu-new,24.54,Actin,20.16,True,4.379999999999999,0.04802734941525042,0.05852195430248547,0.8206723440404768
nc,mcu-new,24.5,Actin,20.24,True,4.260000000000002,0.05219299496427303,0.05852195430248547,0.8918532469797639
